"","date","demand","day","yearday"
"139",2004-05-18,630.97,"星期二","0518"
"140",2004-05-19,633.97,"星期三","0519"
"141",2004-05-20,635.86,"星期四","0520"
"142",2004-05-21,631.45,"星期五","0521"
"143",2004-05-22,536.26,"星期六","0522"
"144",2004-05-23,473.01,"星期日","0523"
"145",2004-05-24,611.42,"星期一","0524"
"146",2004-05-25,632.29,"星期二","0525"
"147",2004-05-26,634.17,"星期三","0526"
"148",2004-05-27,637.89,"星期四","0527"
"149",2004-05-28,636.07,"星期五","0528"
"150",2004-05-29,548.9,"星期六","0529"
"151",2004-05-30,483.75,"星期日","0530"
"152",2004-05-31,607.22,"星期一","0531"
"153",2004-06-01,660.32,"星期二","0601"
"154",2004-06-02,669.15,"星期三","0602"
"155",2004-06-03,668.12,"星期四","0603"
"156",2004-06-04,659.09,"星期五","0604"
"157",2004-06-05,575.84,"星期六","0605"
"158",2004-06-06,512.12,"星期日","0606"
"159",2004-06-07,642.83,"星期一","0607"
"160",2004-06-08,667.28,"星期二","0608"
"161",2004-06-09,673.36,"星期三","0609"
"162",2004-06-10,685.64,"星期四","0610"
"163",2004-06-11,687.52,"星期五","0611"
"164",2004-06-12,587.09,"星期六","0612"
"165",2004-06-13,496.48,"星期日","0613"
"166",2004-06-14,626.85,"星期一","0614"
"167",2004-06-15,646.84,"星期二","0615"
"168",2004-06-16,661.96,"星期三","0616"
"169",2004-06-17,684.46,"星期四","0617"
"170",2004-06-18,690.15,"星期五","0618"
"171",2004-06-19,575.09,"星期六","0619"
"172",2004-06-20,501.64,"星期日","0620"
"173",2004-06-21,646.81,"星期一","0621"
"174",2004-06-22,675.55,"星期二","0622"
"175",2004-06-23,679.7,"星期三","0623"
"176",2004-06-24,656.13,"星期四","0624"
"177",2004-06-25,680.24,"星期五","0625"
"178",2004-06-26,608.26,"星期六","0626"
"179",2004-06-27,553.3,"星期日","0627"
"180",2004-06-28,706.77,"星期一","0628"
"181",2004-06-29,738.51,"星期二","0629"
"182",2004-06-30,751.95,"星期三","0630"
"183",2004-07-01,734.62,"星期四","0701"
"184",2004-07-02,705.55,"星期五","0702"
"185",2004-07-03,610.04,"星期六","0703"
"186",2004-07-04,545.33,"星期日","0704"
"187",2004-07-05,688.61,"星期一","0705"
"188",2004-07-06,697.56,"星期二","0706"
"189",2004-07-07,669.7,"星期三","0707"
"190",2004-07-08,653.16,"星期四","0708"
"191",2004-07-09,652.88,"星期五","0709"
"192",2004-07-10,569.3,"星期六","0710"
"193",2004-07-11,497.21,"星期日","0711"
"194",2004-07-12,637.97,"星期一","0712"
"195",2004-07-13,666.47,"星期二","0713"
"196",2004-07-14,677.6,"星期三","0714"
"197",2004-07-15,697.53,"星期四","0715"
"198",2004-07-16,692.13,"星期五","0716"
"199",2004-07-17,590.92,"星期六","0717"
"200",2004-07-18,522.53,"星期日","0718"
"201",2004-07-19,681.12,"星期一","0719"
"202",2004-07-20,707.34,"星期二","0720"
"203",2004-07-21,716.45,"星期三","0721"
"204",2004-07-22,732.61,"星期四","0722"
"205",2004-07-23,742.48,"星期五","0723"
"206",2004-07-24,655.37,"星期六","0724"
"207",2004-07-25,573.08,"星期日","0725"
"208",2004-07-26,712.8,"星期一","0726"
"209",2004-07-27,729.43,"星期二","0727"
"210",2004-07-28,733.13,"星期三","0728"
"211",2004-07-29,716.73,"星期四","0729"
"212",2004-07-30,703.63,"星期五","0730"
"213",2004-07-31,618.9,"星期六","0731"
"214",2004-08-01,553.28,"星期日","0801"
"215",2004-08-02,671.71,"星期一","0802"
"216",2004-08-03,681.44,"星期二","0803"
"217",2004-08-04,660.83,"星期三","0804"
"218",2004-08-05,660.11,"星期四","0805"
"219",2004-08-06,659.23,"星期五","0806"
"220",2004-08-07,585.04,"星期六","0807"
"221",2004-08-08,517.93,"星期日","0808"
"222",2004-08-09,612.98,"星期一","0809"
"223",2004-08-10,608.49,"星期二","0810"
"224",2004-08-11,606.5,"星期三","0811"
"225",2004-08-12,606.8,"星期四","0812"
"226",2004-08-13,617.29,"星期五","0813"
"227",2004-08-14,564.96,"星期六","0814"
"228",2004-08-15,516.26,"星期日","0815"
"229",2004-08-16,575.47,"星期一","0816"
"230",2004-08-17,611.32,"星期二","0817"
"231",2004-08-18,607.35,"星期三","0818"
"232",2004-08-19,607.99,"星期四","0819"
"233",2004-08-20,604.43,"星期五","0820"
"234",2004-08-21,548.21,"星期六","0821"
"235",2004-08-22,504.96,"星期日","0822"
"236",2004-08-23,631.87,"星期一","0823"
"237",2004-08-24,667.75,"星期二","0824"
"238",2004-08-25,671.27,"星期三","0825"
"239",2004-08-26,663.9,"星期四","0826"
"240",2004-08-27,657.25,"星期五","0827"
"241",2004-08-28,583.64,"星期六","0828"
"242",2004-08-29,526.14,"星期日","0829"
"243",2004-08-30,661.07,"星期一","0830"
"244",2004-08-31,676.95,"星期二","0831"
"245",2004-09-01,693.49,"星期三","0901"
"246",2004-09-02,687.51,"星期四","0902"
"247",2004-09-03,671.37,"星期五","0903"
"248",2004-09-04,573.73,"星期六","0904"
"249",2004-09-05,524.46,"星期日","0905"
"250",2004-09-06,676.14,"星期一","0906"
"251",2004-09-07,681.22,"星期二","0907"
"252",2004-09-08,669.93,"星期三","0908"
"253",2004-09-09,691.66,"星期四","0909"
"254",2004-09-10,695.06,"星期五","0910"
"255",2004-09-11,589.02,"星期六","0911"
"256",2004-09-12,525.76,"星期日","0912"
"257",2004-09-13,671.51,"星期一","0913"
"258",2004-09-14,679.35,"星期二","0914"
"259",2004-09-15,664.51,"星期三","0915"
"260",2004-09-16,661.58,"星期四","0916"
"261",2004-09-17,662.38,"星期五","0917"
"262",2004-09-18,574.62,"星期六","0918"
"263",2004-09-19,507.41,"星期日","0919"
"264",2004-09-20,654.63,"星期一","0920"
"265",2004-09-21,677.69,"星期二","0921"
"266",2004-09-22,679.91,"星期三","0922"
"267",2004-09-23,682.61,"星期四","0923"
"268",2004-09-24,661.49,"星期五","0924"
"269",2004-09-25,555.88,"星期六","0925"
"270",2004-09-26,490.04,"星期日","0926"
"271",2004-09-27,632.33,"星期一","0927"
"272",2004-09-28,671.56,"星期二","0928"
"273",2004-09-29,672.66,"星期三","0929"
"274",2004-09-30,673.97,"星期四","0930"
"275",2004-10-01,666.09,"星期五","1001"
"276",2004-10-02,579.07,"星期六","1002"
"277",2004-10-03,509.42,"星期日","1003"
"278",2004-10-04,649.38,"星期一","1004"
"279",2004-10-05,674.59,"星期二","1005"
"280",2004-10-06,677.92,"星期三","1006"
"281",2004-10-07,677.62,"星期四","1007"
"282",2004-10-08,662.51,"星期五","1008"
"283",2004-10-09,535.45,"星期六","1009"
"284",2004-10-10,459.43,"星期日","1010"
"285",2004-10-11,537.51,"星期一","1011"
"286",2004-10-12,490.47,"星期二","1012"
"287",2004-10-13,613.4,"星期三","1013"
"288",2004-10-14,629.36,"星期四","1014"
"289",2004-10-15,624.62,"星期五","1015"
"290",2004-10-16,540.21,"星期六","1016"
"291",2004-10-17,492.89,"星期日","1017"
"292",2004-10-18,630.23,"星期一","1018"
"293",2004-10-19,645.16,"星期二","1019"
"294",2004-10-20,643.85,"星期三","1020"
"295",2004-10-21,653.14,"星期四","1021"
"296",2004-10-22,642.43,"星期五","1022"
"297",2004-10-23,546.38,"星期六","1023"
"298",2004-10-24,476.88,"星期日","1024"
"299",2004-10-25,628.63,"星期一","1025"
"300",2004-10-26,635.18,"星期二","1026"
"301",2004-10-27,645.05,"星期三","1027"
"302",2004-10-28,636.21,"星期四","1028"
"303",2004-10-29,630.91,"星期五","1029"
"304",2004-10-30,565.82,"星期六","1030"
"305",2004-10-31,505.31,"星期日","1031"
"306",2004-11-01,505.3,"星期一","1101"
"307",2004-11-02,636.62,"星期二","1102"
"308",2004-11-03,667.67,"星期三","1103"
"309",2004-11-04,674.56,"星期四","1104"
"310",2004-11-05,658.57,"星期五","1105"
"311",2004-11-06,567.56,"星期六","1106"
"312",2004-11-07,505.26,"星期日","1107"
"313",2004-11-08,638.6,"星期一","1108"
"314",2004-11-09,646.64,"星期二","1109"
"315",2004-11-10,656.89,"星期三","1110"
"316",2004-11-11,672.79,"星期四","1111"
"317",2004-11-12,688.37,"星期五","1112"
"318",2004-11-13,594.07,"星期六","1113"
"319",2004-11-14,530.69,"星期日","1114"
"320",2004-11-15,681.95,"星期一","1115"
"321",2004-11-16,720.3,"星期二","1116"
"322",2004-11-17,733.87,"星期三","1117"
"323",2004-11-18,734.79,"星期四","1118"
"324",2004-11-19,711.41,"星期五","1119"
"325",2004-11-20,632.33,"星期六","1120"
"326",2004-11-21,566.43,"星期日","1121"
"327",2004-11-22,704.89,"星期一","1122"
"328",2004-11-23,723.29,"星期二","1123"
